年度/Year,月份/Month,發電站名稱/Station Name,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kW-h),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day
2017,6,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,227298,3.45
2017,6,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,672995,3.35
2017,6,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8638,3.06
2017,6,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,3750,2.02
2017,6,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,557144,3.88
2017,6,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,194201,3.85
2017,6,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7005,3.76
2017,6,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,175074,3.87
2017,6,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,8099,3.7
2017,6,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,13108,2.74
2017,6,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,48600,2.97
2017,7,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,94842,4.7
2017,7,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,5016,4.02
2017,7,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,11335,3.98
2017,7,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,10907,3.04
2017,7,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4249,3.27
2017,7,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,267838,4.07
2017,7,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,835403,4.15
2017,7,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,10368,3.67
